"","Prevotella","Propionimicrobium","Lactobacillus","Sneathia","Campylobacter_B","Fusobacterium","Porphyromonas_A","Ezakiella","Fenollaria","Enterococcus","Veillonella","Finegoldia","Anaerococcus","Haemophilus_D","Pauljensenia","Proteus","Peptoniphilus_A","Actinobaculum","Winkia","Mobiluncus","Cutibacterium","Actinotignum","Ureaplasma","Jonquetella","Varibaculum","Enterococcus_B","Negativicoccus","Nanoperiomorbus","Peptoniphilus_C","Staphylococcus","Peptoniphilus_B","Levyella","Campylobacter_A","Fastidiosipila","Dialister","Urinicoccus","Fannyhessea","Mycoplasmopsis","Mediannikoviicoccus","Parvimonas","F0422","Porphyromonas","Peptostreptococcus","Morganella","Haemophilus","Atopobium","Aerococcus","Gemella","KA00274","Arcanobacterium_A","Agrococcus","JABXKX01","Pseudocitrobacter","Rubellimicrobium","Microsaccharimonas","Methylotenera","Khoudiadiopia","Specibacter","Lachnospira","S5-A14a","Pseudoclavibacter","Klebsiella","14-2","Fusobacterium_C","Peptoniphilus_E","KA00134","W5053","JACRIG01","Vaginimicrobium","Dermabacter","UMGS1590","Gleimia","Blautia","Pyramidobacter","Pseudomonas_E","Helcococcus","Mobilitalea","Eremococcus","Nanosynbacter","SpSt-583","Sporosarcina","Murdochiella","Cloacibacterium","UBA955","Berryella","UBA1547","Trueperella","Lawsonella","Moraxella_A","Stomatobaculum","Actinomyces","Paeniglutamicibacter","Criibacterium","Megasphaera","Alterileibacterium","Pseudoduganella","GCA-2749205","Streptomyces","JACPOV01","Epilithonimonas","Sodaliphilus","Gordonia","Olegusella","Blautia_A","Weeksella","Psychrobacillus","Buttiauxella","Bog-950","UBA636","Arachnia","Kaistella","Enterococcus_E","Aureimonas_A","Agrobacterium","Citricoccus","AWTP1-9","JAGXIT01","Hutsoniella","Anaeroglobus","Carnobacterium_A","Sphaerotilus","Haematobacter","Mixta","Pusillimonas_A","Ndongobacter","Bowdeniella","Falseniella","Clostridium_AD","Eggerthia","JAAZPT01","Advenella","Romboutsia","Cryptobacteroides","Sutterella","Cetobacterium_A","JABCPE02","Mageeibacillus","Pantoea","Sandaracinobacteroides","2011-GWC2-44-17","Alloprevotella","Pararheinheimera","Hydrogenophaga","Phocaeicola","T78","CAIOMD01","Pseudomonas_B","Marmoricola","Aliterella","Bacteroides","Brachyspira","Brachybacterium","Aureimonas","Collinsella","Ruminococcus_E","Limosilactobacillus","Williamsia","Tepidiphilus","Desemzia","Aeromonas","Citrobacter_B","Ga0077546","Lactococcus","Leptotrichia","Cellvibrio","Yimella","CAG-41","Rhizobium_A","Falsirhodobacter","Faecalibacterium","Mycobacterium","CAIPTA01","Sphingobacterium","Savagea","Leucobacter","Anaerostipes","Clostridium","Citrobacter","Glutamicibacter","Lysobacter","Pseudoclavibacter_B","Brooklawnia","VUNA01","UBA6024","Nocardioides","Gemmiger","Allisonella","Dermacoccus","Phenylobacterium","Amaricoccus","Diaphorobacter_A","Eisenbergiella","Basfia","Schaedlerella","Agathobacter","JADMJV01","Bacillus_A","CAG-269","Ancylobacter","Reyranella","Exiguobacterium","Cyanobium_A","Slackia","Seramator","Pseudoxanthomonas_A","Neorhizobium","Granulicatella","Rothia","Alishewanella","Ruminococcus_D","Veillonella_A","Nanogingivalis","Telluria","Sanguibacter","Faecousia","Neobacillus","Limivicinus","Pararhizobium","Mediterraneibacter","Catenibacterium","Pseudomonas_O","Synergistes","Zhenhengia","Coprococcus_A","Intestinibacter","JAAYOA01","Leuconostoc","Anaerobutyricum","JJ008","CAG-170","Turicibacter","Alistipes","Oliverpabstia","LD21","Bifidobacterium","Hymenobacter","CAG-317","Bulleidia","Centipeda","Ruminiclostridium_E","Treponema_B","Proteiniphilum","Cryptobacterium","Lachnoclostridium_B","Dorea_A","Vescimonas","Alloscardovia","Trichococcus","Nesterenkonia","Gemmatirosa","Kingella_B","CAG-353","Microterricola","Endobacterium","Megamonas","13-2-20CM-66-19","Acidaminococcus","Naumannella","DTU024","Agathobaculum","Anaerotardibacter","F23-B02","Bariatricus","Scatavimonas","Pannonibacter","JABCPH02","Truepera","Terrisporobacter","Jeotgalicoccus_A","RGIG665","Kineosporia","CAIJKY01","Planococcus","UBA1394","Acetatifactor","Ornithinibacter","Pelethousia","ER4","Monoglobus","Absicoccus","Hylemonella","Choladousia","Hansschlegelia","OLB17","Knoellia","Bilophila","UMGS1449","Succinivibrio","Casimicrobium","Thermomonas","JABDBL01","Lautropia","Solimonas","Dolosigranulum","Lacticaseibacillus","Rectinema","Cuneatibacter","HGM12814","Abditibacterium"
"124-1",22873,226,0,0,390,22467,972,1858,8336,17,0,0,749,23,183,0,3462,0,0,115,0,119,0,2979,300,0,0,0,918,0,495,261,0,0,1322,59,104,0,49,475,0,1154,660,0,0,647,0,0,0,59,0,43,0,0,266,0,127,0,0,27,0,0,0,0,25,182,0,0,55,24,355,0,0,0,0,0,0,0,485,0,0,117,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127-6",39,0,0,0,0,0,4,0,0,0,0,278,651,21,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089,0,0,0,4217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128-3",4376,10283,0,0,2412,930,20721,8828,3880,0,0,60,3519,0,84,0,11216,0,0,4228,20,1900,0,0,978,0,1220,0,2126,0,259,0,0,135,721,514,0,1046,3432,318,0,232,0,0,0,31,0,0,114,129,0,0,83,0,0,0,0,0,0,248,0,0,0,365,39,2703,0,0,0,0,19,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,130,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129-4",151,0,0,18,56,34,0,0,0,182,0,1247,30,18167,0,0,0,0,0,0,12,0,0,0,676,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132-1",61,0,0,0,14,13,0,0,0,6457,0,17,57,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,171,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,82,0,0,0,0,0,2791,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,0,2,0,0,0,0,0,144,142,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133-4",1139,1233,0,68,2001,0,8482,459,0,0,0,142,13005,5,0,0,1326,0,0,22,0,64,0,0,220,0,33,0,123,0,74,0,0,226,0,34,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0,59,0,296,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134-5",44829,2607,0,0,924,19,14,4736,0,11,0,2109,599,0,60,27,6362,0,17,0,0,1814,0,0,943,0,41,0,255,0,0,0,0,336,817,0,0,0,901,0,0,0,0,0,0,337,260,0,0,89,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134-7",0,22644,0,0,165,0,0,0,0,0,0,80,11224,0,1223,0,10004,5069,0,0,0,2634,0,0,35,0,1131,0,9,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135-5",0,0,0,0,0,0,0,0,0,59,174,2837,92,0,87,0,411,0,175,0,0,29,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139-6",26821,30333,0,0,2778,0,1831,5662,6350,10,0,0,5448,0,9,0,5497,0,0,20,0,581,0,2762,1588,0,713,0,1838,0,0,0,0,74,800,0,0,0,3170,0,0,395,0,13,0,0,93,0,0,353,0,0,0,0,0,0,0,0,0,125,0,0,0,0,109,0,566,0,0,0,53,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140-1",18192,142,0,0,4808,0,2911,14778,14,0,42,203,2151,0,0,0,3767,0,0,394,0,184,19,0,4212,0,1476,0,2044,20,358,112,0,24,363,570,0,0,875,0,0,193,0,0,0,0,0,0,0,385,0,0,0,0,14,0,200,0,0,132,0,0,0,0,41,120,224,0,301,0,140,0,0,72,0,288,940,0,0,0,0,107,0,0,0,24,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140-6",26271,30361,0,0,7068,940,0,11590,0,0,148,0,3461,1394,169,0,5642,632,0,0,11,4884,0,0,0,0,826,0,0,49,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141-7",4074,500,0,0,1676,0,9940,8876,657,0,0,5,2414,14,0,0,1975,0,0,17,0,305,0,0,77,0,634,0,493,0,11,0,0,506,0,385,0,0,522,0,0,295,0,0,0,19,10,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,374,282,0,19,0,35,0,0,0,0,430,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142-1",2733,8350,0,0,630,0,3583,0,0,246,240,154,3909,0,101,0,4092,0,0,0,0,415,0,145,305,0,728,0,12,0,429,188,0,0,0,110,0,0,0,0,0,142,232,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,39,0,0,0,0,14,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142-4",18,6,13555,0,0,0,0,0,3,0,0,853,346,0,0,0,36,8,0,0,0,7,0,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142-6",13012,0,0,0,0,10,0,6,4,2457,999,7886,2543,4,0,0,114,0,16,0,0,0,0,0,0,0,48,0,21,0,0,0,0,0,28,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,10,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144-2",377,3587,0,0,650,0,1825,1156,1936,0,0,0,100,0,18,0,2902,0,0,223,0,112,11,475,166,0,300,0,297,2,7,0,0,7,314,63,0,547,484,0,0,230,0,0,0,11,0,0,21,89,0,0,0,0,0,0,50,0,0,64,0,0,0,0,114,531,451,0,463,13,111,0,0,364,0,0,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,13,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"145-1",15906,3396,0,41,1746,32835,331,1601,21,614,0,606,1577,5,134,0,2979,0,0,300,0,149,0,13,988,44,0,308,204,24,21,11,0,81,379,104,0,146,194,280,0,153,0,0,0,37,35,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145-3",2224,1346,0,0,2499,4178,25204,358,428,7,2254,305,10326,0,47,0,3090,0,16,0,45,5165,0,0,46,0,1006,88,178,0,0,0,0,115,7,21,0,14,276,0,0,210,0,0,0,0,347,0,0,55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,196,38,29,0,29,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
